english
"(196, 967)"
"(1, 643)"
"(68, 105)"
"(573, 574)"
"(337, 477)"
"(15, 830)"
"(174, 594)"
"(43, 60)"
"(7, 912)"
"(559, 620)"
"(293, 324)"
"(58, 59)"
"(38, 40)"
"(60, 817)"
"(119, 479)"
"(187, 699)"
"(492, 493)"
"(26, 285)"
"(593, 640)"
"(533, 861)"
"(339, 350)"
"(57, 506)"
"(48, 576)"
"(277, 432)"
"(30, 498)"
"(288, 840)"
"(390, 563)"
"(315, 375)"
"(336, 528)"
"(69, 106)"
"(436, 1036)"
"(892, 893)"
"(353, 464)"
"(1037, 1039)"
"(708, 881)"
"(1033, 1034)"
"(704, 778)"
"(717, 756)"
"(371, 372)"
"(567, 568)"
"(313, 823)"
"(43, 817)"
"(26, 795)"
"(7, 467)"
"(187, 534)"
"(799, 801)"
