english
"(857, 1181)"
"(375, 581)"
"(1142, 1143)"
"(988, 989)"
"(219, 1074)"
"(33, 548)"
"(74, 121)"
"(51, 632)"
"(354, 417)"
"(46, 65)"
"(542, 543)"
"(210, 767)"
"(63, 64)"
"(7, 514)"
"(46, 913)"
"(197, 650)"
"(135, 527)"
"(210, 588)"
"(324, 936)"
"(330, 363)"
"(311, 477)"
"(113, 117)"
"(41, 43)"
"(7, 1008)"
"(393, 511)"
"(623, 624)"
"(352, 919)"
"(614, 676)"
"(413, 414)"
"(16, 926)"
"(1, 699)"
"(789, 834)"
"(65, 913)"
"(29, 320)"
"(587, 957)"
"(1146, 1148)"
"(114, 115)"
"(73, 120)"
"(649, 696)"
"(115, 116)"
"(772, 863)"
"(481, 1145)"
"(629, 630)"
"(893, 895)"
"(376, 525)"
"(777, 977)"
"(844, 862)"
"(60, 557)"
"(29, 889)"
"(378, 390)"
"(434, 619)"
"(114, 116)"
