nonzero
"(621, 577)"
"(877, 727)"
"(803, 652)"
"(609, 621)"
"(985, 654)"
"(678, 667)"
"(309, 204)"
"(756, 539)"
"(885, 953)"
"(177, 842)"
"(584, 618)"
"(515, 552)"
"(660, 583)"
"(312, 813)"
"(494, 533)"
"(653, 650)"
"(346, 532)"
"(807, 641)"
"(443, 626)"
"(740, 740)"
"(523, 854)"
"(528, 572)"
"(313, 822)"
"(615, 585)"
"(75, 988)"
"(151, 387)"
"(838, 59)"
"(107, 79)"
"(70, 81)"
"(796, 971)"
"(893, 585)"
"(1042, 894)"
"(221, 253)"
"(779, 265)"
"(887, 808)"
"(675, 456)"
"(811, 760)"
"(617, 697)"
"(889, 828)"
"(107, 651)"
"(974, 199)"
"(1052, 585)"
"(944, 438)"
"(854, 937)"
"(485, 26)"
"(937, 947)"
"(23, 766)"
"(505, 805)"
"(16, 616)"
"(876, 876)"
"(1032, 894)"
"(868, 898)"
"(1036, 394)"
"(561, 1006)"
"(492, 494)"
"(685, 581)"
"(526, 1019)"
"(268, 991)"
"(565, 31)"
"(754, 104)"
"(113, 112)"
"(523, 519)"
"(696, 81)"
"(105, 869)"
"(255, 703)"
"(75, 13)"
"(84, 309)"
"(930, 737)"
"(515, 661)"
"(916, 956)"
"(757, 970)"
"(579, 538)"
"(49, 571)"
"(669, 644)"
"(819, 43)"
"(840, 794)"
"(895, 892)"
"(992, 693)"
"(518, 826)"
"(207, 207)"
"(689, 580)"
"(649, 650)"
"(340, 339)"
"(515, 81)"
"(296, 793)"
"(870, 871)"
"(291, 30)"
"(525, 666)"
"(200, 83)"
"(163, 169)"
"(426, 541)"
"(760, 107)"
"(370, 366)"
"(600, 643)"
"(637, 428)"
"(572, 569)"
"(971, 1068)"
"(828, 915)"
"(501, 921)"
"(46, 976)"
"(67, 35)"
"(823, 744)"
"(521, 394)"
"(756, 701)"
"(703, 918)"
"(825, 1020)"
"(915, 894)"
"(1051, 1046)"
"(313, 208)"
"(539, 826)"
"(80, 69)"
"(668, 606)"
"(1037, 1047)"
"(834, 882)"
"(640, 423)"
"(185, 383)"
"(960, 563)"
"(321, 79)"
"(694, 520)"
"(277, 1004)"
"(332, 329)"
"(32, 117)"
"(781, 285)"
"(714, 960)"
"(1032, 293)"
"(529, 477)"
"(605, 618)"
"(14, 726)"
"(934, 935)"
"(83, 497)"
"(415, 470)"
"(537, 532)"
"(408, 416)"
"(80, 973)"
"(495, 981)"
"(926, 625)"
"(607, 608)"
"(720, 759)"
"(42, 783)"
"(646, 515)"
"(81, 803)"
"(279, 698)"
"(258, 627)"
"(525, 527)"
"(530, 1019)"
"(426, 384)"
"(963, 187)"
"(3, 842)"
"(868, 868)"
"(741, 498)"
"(651, 982)"
"(47, 705)"
"(1006, 1006)"
"(759, 754)"
"(90, 87)"
"(394, 599)"
"(735, 394)"
"(894, 1065)"
"(610, 608)"
"(347, 586)"
"(1006, 298)"
"(194, 330)"
"(397, 423)"
"(143, 647)"
"(436, 435)"
"(613, 605)"
"(687, 826)"
"(265, 525)"
"(302, 284)"
"(454, 43)"
"(493, 591)"
"(27, 7)"
"(246, 137)"
"(580, 796)"
"(1078, 1079)"
"(211, 211)"
"(301, 301)"
"(40, 41)"
"(3, 191)"
"(439, 419)"
"(575, 1051)"
"(526, 265)"
"(35, 366)"
"(549, 232)"
"(879, 881)"
"(588, 578)"
"(888, 284)"
"(1056, 788)"
"(1001, 515)"
"(758, 929)"
"(779, 748)"
"(470, 697)"
"(931, 953)"
"(82, 81)"
"(15, 903)"
"(600, 605)"
"(653, 493)"
"(715, 828)"
"(58, 9)"
"(823, 818)"
"(719, 717)"
"(703, 712)"
"(767, 753)"
"(366, 186)"
"(686, 617)"
"(792, 188)"
"(780, 677)"
"(492, 395)"
"(254, 766)"
"(238, 227)"
"(42, 438)"
"(5, 194)"
"(351, 320)"
"(526, 540)"
"(535, 854)"
"(989, 1002)"
"(18, 222)"
"(557, 823)"
"(961, 470)"
"(882, 880)"
"(1057, 60)"
"(815, 292)"
"(619, 623)"
"(515, 696)"
"(1050, 815)"
"(388, 274)"
"(353, 352)"
"(680, 791)"
"(608, 617)"
"(926, 943)"
"(649, 1034)"
"(519, 693)"
"(277, 186)"
"(872, 876)"
"(537, 494)"
"(802, 986)"
"(864, 15)"
"(940, 940)"
"(449, 975)"
"(195, 255)"
"(667, 669)"
"(764, 927)"
"(1031, 333)"
"(464, 155)"
"(362, 630)"
"(189, 743)"
"(355, 707)"
"(998, 427)"
"(1076, 1045)"
"(825, 999)"
"(760, 524)"
"(686, 756)"
"(908, 1066)"
"(587, 621)"
"(739, 950)"
"(506, 319)"
"(713, 779)"
"(969, 782)"
"(821, 821)"
"(180, 163)"
"(860, 861)"
"(950, 987)"
"(627, 634)"
"(71, 75)"
"(200, 944)"
"(610, 778)"
"(776, 200)"
"(469, 493)"
"(1054, 526)"
"(944, 809)"
"(1072, 793)"
"(943, 186)"
"(802, 685)"
"(675, 649)"
"(767, 23)"
"(954, 464)"
"(188, 792)"
"(707, 760)"
"(248, 243)"
"(391, 149)"
"(598, 727)"
"(384, 365)"
"(130, 129)"
"(944, 373)"
"(33, 586)"
"(480, 437)"
"(23, 575)"
"(7, 474)"
"(443, 315)"
"(620, 537)"
"(2, 758)"
"(281, 309)"
"(486, 462)"
"(470, 963)"
"(1030, 585)"
"(299, 169)"
"(686, 455)"
"(324, 268)"
"(345, 539)"
"(552, 551)"
"(206, 872)"
"(704, 738)"
"(524, 437)"
"(284, 289)"
"(980, 966)"
"(256, 258)"
"(583, 588)"
"(543, 542)"
"(105, 550)"
"(799, 1029)"
"(1070, 852)"
"(722, 830)"
"(796, 473)"
"(65, 65)"
"(240, 233)"
"(703, 442)"
"(800, 139)"
"(325, 928)"
"(518, 517)"
"(144, 141)"
"(473, 736)"
"(330, 315)"
"(224, 298)"
"(858, 985)"
"(196, 704)"
"(892, 933)"
"(652, 83)"
"(712, 702)"
"(82, 106)"
"(693, 698)"
"(988, 74)"
"(462, 417)"
"(483, 658)"
"(600, 578)"
"(780, 894)"
"(1004, 1072)"
"(824, 822)"
"(443, 436)"
"(20, 25)"
"(811, 894)"
"(668, 669)"
"(6, 28)"
"(693, 382)"
"(347, 318)"
"(100, 94)"
"(981, 563)"
"(967, 512)"
"(542, 412)"
