superordinate
"(129, 131)"
"(407, 421)"
"(652, 667)"
"(533, 694)"
"(493, 687)"
"(67, 75)"
"(652, 671)"
"(110, 111)"
"(354, 355)"
"(339, 342)"
"(315, 319)"
"(128, 131)"
"(580, 607)"
"(31, 513)"
"(525, 694)"
"(800, 801)"
"(110, 112)"
"(796, 798)"
"(396, 397)"
"(481, 525)"
"(1, 10)"
"(421, 1014)"
"(18, 20)"
"(339, 341)"
"(67, 101)"
"(110, 113)"
"(346, 535)"
"(525, 569)"
"(1013, 1015)"
"(617, 618)"
"(194, 224)"
"(130, 131)"
"(1, 9)"
"(194, 195)"
"(590, 591)"
"(344, 534)"
"(339, 340)"
"(115, 116)"
"(123, 125)"
"(463, 465)"
"(103, 974)"
"(310, 354)"
"(538, 539)"
"(194, 220)"
"(636, 638)"
"(980, 984)"
"(525, 526)"
"(135, 141)"
"(381, 383)"
"(381, 384)"
"(121, 122)"
"(48, 54)"
"(1, 7)"
"(339, 343)"
"(73, 83)"
"(635, 636)"
"(954, 985)"
