index,ids_index,ids_name
0,0,world
1,1,"earth, land"
2,2,"earth=ground, soil"
3,3,dust
4,4,mud
5,5,sand
6,6,"mountain, hill"
7,7,"cliff, precipice"
8,8,"plain, field"
9,9,valley
10,10,island
11,12,shore
12,13,cave
13,14,water
14,15,sea
15,16,calm (of sea)
16,17,rough (of sea)
17,18,foam
18,19,ocean
19,20,lake
20,21,"gulf, bay"
21,22,lagoon
22,23,reef
23,24,"headland, point"
24,25,wave
25,26,tide
26,29,"river, stream, brook"
27,31,"spring, well"
28,32,swamp
29,33,waterfall
30,34,"woods, forest"
31,35,tree (cf 08.600)
32,36,wood
33,37,"stone, rock"
34,38,earthquake
35,39,sky
36,40,sun
37,41,moon
38,42,star
39,43,lightning
40,44,thunder
41,45,lightning (as striking)
42,46,storm
43,47,rainbow
44,48,light (noun)
45,49,darkness
46,50,"shade, shadow"
47,51,dew
48,52,air
49,53,wind
50,54,cloud
51,55,fog
52,56,rain (noun)
53,57,snow (noun)
54,58,ice
55,59,weather
56,60,fire
57,61,flame (noun)
58,62,smoke (noun)
59,63,ashes
60,65,burn (vb trans)
61,66,burn (vb intrans)
62,67,"light, kindle, ignite"
63,69,match (noun)
64,71,charcoal
65,72,"person, human being"
66,73,man (vs. woman)
67,74,woman
68,75,male
69,76,female
70,77,boy
71,79,girl
72,81,child
73,82,"infant, baby"
74,83,husband
75,84,wife
76,85,marry
77,86,"marriage, wedding"
78,87,divorce
79,88,father
80,89,mother
81,90,parents
82,93,son
83,94,daughter
84,96,brother
85,99,sister
86,102,sibling
87,110,uncle
88,113,aunt
89,116,nephew
90,117,niece
91,118,cousin
92,134,widow
93,137,family
94,139,you (singular)
95,144,you (plural)
96,146,animal
97,147,male (adj)
98,148,female (adj)
99,150,pasture
100,152,"stable, stall"
101,153,cattle (bovine)
102,154,bull
103,155,ox
104,156,cow
105,157,calf
106,158,sheep
107,159,ram
108,160,ewe
109,161,lamb
110,163,sow (2)
111,164,pig
112,165,goat
113,167,kid
114,168,horse (equine)
115,169,stallion
116,170,mare
117,171,"foal, colt"
118,172,"ass, donkey"
119,173,mule
120,175,"cock, rooster"
121,176,hen
122,177,chicken
123,178,goose
124,179,duck
125,180,nest
126,181,bird
127,182,seagull
128,184,eagle
129,185,hawk
130,187,bat
131,188,parrot
132,189,crow
133,190,dove
134,191,owl
135,192,dog
136,193,rabbit
137,194,cat
138,196,"mouse, rat"
139,197,fish
140,198,fin (dorsal)
141,201,shell
142,202,shark
143,203,"porpoise, dolphin"
144,204,whale
145,207,wolf
146,208,lion
147,209,bear
148,210,fox
149,211,deer
150,212,monkey
151,213,elephant
152,214,camel
153,215,insect
154,218,flea
155,222,ant
156,223,spider
157,225,bee
158,228,wasp
159,229,fly
160,231,mosquito
161,232,worm
162,233,snake
163,235,butterfly
164,236,grasshopper
165,237,snail
166,238,frog
167,239,lizard
168,240,"crocodile, alligator"
169,241,turtle
170,242,body
171,243,"skin, hide"
172,244,flesh
173,245,hair (head)
174,246,beard
175,249,dandruff
176,250,blood
177,251,"vein, artery"
178,252,bone
179,253,rib
180,254,horn
181,255,tail
182,256,back
183,257,spine
184,258,head
185,259,"side of head, temple"
186,260,skull
187,261,brain
188,262,face
189,263,forehead
190,264,jaw
191,265,cheek
192,267,eye
193,270,eyelash
194,272,ear
195,275,nose
196,278,mouth
197,280,lip
