superordinate
"(93, 934)"
"(106, 107)"
"(473, 638)"
"(365, 378)"
"(67, 75)"
"(290, 291)"
"(302, 303)"
"(67, 92)"
"(39, 41)"
"(80, 81)"
"(916, 944)"
"(208, 209)"
"(40, 772)"
"(302, 304)"
"(342, 347)"
"(101, 103)"
"(970, 972)"
"(106, 108)"
"(473, 474)"
"(378, 971)"
"(963, 966)"
"(1, 10)"
"(559, 560)"
"(446, 632)"
"(487, 488)"
"(19, 21)"
"(302, 305)"
"(342, 344)"
"(764, 765)"
"(101, 102)"
"(760, 762)"
"(120, 122)"
"(178, 199)"
"(272, 315)"
"(591, 605)"
"(963, 969)"
"(525, 551)"
"(178, 179)"
"(535, 536)"
"(101, 104)"
"(79, 81)"
"(112, 113)"
"(576, 577)"
"(277, 281)"
"(342, 345)"
"(126, 131)"
"(302, 306)"
"(482, 638)"
"(591, 609)"
"(963, 968)"
"(121, 122)"
"(1, 8)"
"(307, 483)"
"(433, 473)"
"(49, 55)"
"(351, 510)"
"(315, 316)"
"(114, 116)"
